CSP_ID	SCORED_TICKETS	WITHIN_TAT	BREACHED	KAPTURE_FIRST_ANY	SYNC_LOSS	UNFAIR_BREACH
a0b9u6	20	7	10	10	0	0
a0b7f2	20	19	1	2	0	0
a0b6z8	20	17	3	1	0	0
a0b9o6	20	1	4	16	0	0
a0b9u9	20	20	0	1	0	0
a0b9r6	20	6	12	3	0	0
a0c0b1	19	18	1	3	0	0
a0b8x3	19	19	0	0	0	0
a0b6v2	19	12	7	1	0	0
a0b5y1	19	1	7	14	0	0
a0b9l5	19	17	2	1	0	0
a0a9m3	19	12	7	3	0	0
a0b9s9	19	9	10	4	0	0
a0b6k9	18	15	3	2	0	0
a0b7g6	18	18	0	1	0	0
a0b6j7	18	17	1	1	0	0
a0b9f8	18	18	0	2	0	0
a0b6n6	18	12	6	2	0	0
a0c0i4	18	17	1	0	0	0
a0b7e7	18	18	0	0	0	0
a0b6h0	18	8	10	4	0	0
a0b8u3	18	16	2	1	0	0
a0b6y4	18	16	2	0	0	0
a0a7d4	18	16	2	1	0	0
a0b9t6	17	0	0	17	0	0
a0b7g5	17	14	3	0	0	0
a0a7f7	17	14	3	3	1	0
a0b9u8	17	13	4	0	0	0
a0b9q8	17	7	9	6	0	0
a0b9a0	17	2	1	14	0	0
a0b6q5	17	11	6	0	0	0
a0b9b5	17	10	7	3	0	0
a0b6p3	17	17	0	1	0	0
a0b6b5	17	15	2	0	0	0
a0b6t1	17	14	3	2	0	0
a0b9j0	17	12	5	0	0	0
a0b9l4	17	14	3	0	0	0
a0b6m3	16	16	0	1	0	0
a0b6u7	16	12	4	0	0	0
a0b8x0	16	10	6	1	0	0
a0b5w8	16	2	14	8	0	0
a0b9g3	16	16	0	1	0	0
a0b1b5	16	16	0	0	0	0
a0b6o5	16	15	1	1	0	0
a0b5w1	16	15	1	0	0	0
a0b9w0	16	0	2	16	0	0
a0b9d1	16	3	1	12	1	0
a0b6k6	16	13	3	1	0	0
a0b5s6	16	10	6	4	0	0
a0b5s2	16	5	11	2	0	0
a0b0g5	16	14	2	0	0	0
a0b5y6	16	15	1	0	0	0
a0b8o3	16	5	11	5	0	0
a0b8q2	15	14	1	0	0	0
a0b5u9	15	6	9	2	0	0
a0c0a5	15	2	3	13	0	0
a0b5z6	15	14	0	1	0	0
a0b7d0	15	11	4	0	0	0
a0b6d0	15	8	7	2	0	0
a0b6c0	15	14	1	0	0	0
a0b6w5	15	14	1	0	0	0
a0b6n0	15	15	0	0	0	0
a0b7e4	15	15	0	0	0	0
a0b6z5	15	6	9	0	0	0
a0b8r3	15	6	9	7	0	0
a0b9d0	15	0	0	15	1	0
a0b5y9	15	14	1	0	0	0
a0b8q4	15	15	0	1	0	0
a0b7c4	15	9	6	0	0	0
